imdb_id,title,imdb_rating,vote_count_num,runtime_mins,mpaa_rating,genres
tt0080373,Private Benjamin,7.3,579,105,N/A,Drama
tt0087564,Irreconcilable Differences,6.6,535,120,N/A,"Crime, Drama, Romance"
tt0092699,Baby Boom,7.3,35553,133,R,"Comedy, Drama, Romance"
tt0101862,Father of the Bride,6.6,92106,105,PG,"Comedy, Family, Romance"
tt0110278,I Love Trouble,7.1,685,85,N/A,Drama
tt0120783,The Parent Trap,6.7,165056,128,PG,"Adventure, Comedy, Drama"
tt0207201,What Women Want,6.5,236520,127,PG-13,"Comedy, Fantasy, Romance"
tt0337741,Something's Gotta Give,6.8,138041,128,PG-13,"Comedy, Drama, Romance"
tt0457939,The Holiday,7,365357,136,PG-13,"Comedy, Romance"
tt1178663,It's Complicated,7.1,78348,93,PG-13,"Comedy, Romance"
tt2234222,The Intern,8.3,122681,1,TV-MA,"Drama, Sci-Fi, Thriller"
tt0125439,Notting Hill,7.2,380809,124,PG-13,"Comedy, Drama, Romance"
tt0243155,Bridget Jones's Diary,6.8,284343,97,R,"Comedy, Drama, Romance"
tt0259446,My Big Fat Greek Wedding,6.6,150238,95,PG,"Comedy, Drama, Romance"
tt0343660,How to Lose a Guy in 10 Days,6.8,413878,99,PG-13,"Comedy, Drama, Romance"
tt0337563,13 Going on 30,6.3,246818,98,PG-13,"Comedy, Fantasy, Romance"
tt0386588,Hitch,6.6,343989,118,PG-13,"Comedy, Romance"
tt0458352,The Devil Wears Prada,7,524526,109,PG-13,"Comedy, Drama"
tt0478311,Knocked Up,6.9,397384,129,R,"Comedy, Romance"
tt0382932,Mamma Mia!,8.1,940588,111,G,"Animation, Adventure, Comedy"
tt1041829,The Proposal,6.8,393239,108,PG-13,"Comedy, Drama, Romance"
tt1570728,"Crazy, Stupid, Love",7.4,601291,118,PG-13,"Comedy, Drama, Romance"
tt2219695,About Time,NA,NA,30,N/A,Comedy
tt2203939,The Other Woman,6,157469,109,PG-13,"Comedy, Romance"
